GAMMES & MODES,NOTE,INTERVALLES & DEGRÉS,NOTE
Gamme majeure,Base des modes : on altère la gamme majeure pour obtenir les 7 modes.,Penser en degrés,Toujours penser en degrés plutôt qu’en notes.
Gammes importantes,"Majeure, Mineur Harmonique, Mineur Mélodique, Pentatonique mineure & majeure.",Secondes / Neuvièmes,Même note à l’octave (2 = 9).
Pentatonique majeure,"Même positions que la pentatonique mineure, seule la tonique change.",Extensions,2/4/6 équivalent à 9/11/13.
Modes relatifs,7 positions de la gamme majeure = 7 modes (modes relatifs).,Tierce & Septième,Peuvent être majeures ou mineures.
Modes réels,Modification des intervalles pour créer un “nouveau mode”.,Trouver la b7 et 7,b7 = -1 ton ; 7 = -1/2 ton par rapport à la tonique
Blues note,Entre la 3e et 4e note de la penta mineure.,TONALITÉ & ARMURE,NOTE
—,—,Cercle des quintes,Fa Do Sol Ré La Mi Si.
ACCORDS & HARMONIE,NOTE,Tonalité majeure dièses,2 dièses de plus que la dernière.
Triades,"Accord F–3–5, extensions possibles.",Tonalité majeure bémols,Prendre l’avant‑dernier.
CAGED,Formes d’accords liées aux positions penta.,Gammes majeures dièses,Sol → Do#.
Accords barrés,Basés sur forme E et Am.,Gammes majeures bémols,Fa → Dob.
Substitution relative,C ↔ Am.,Do majeur,0 altérations.
Substitution tritonique,Deux accords 7e distants d’un triton(trois ton au dessus ou dessous),Tonalité via penta,Penta donne la relative.
Substitution chromatique,Glissement d’un demi‑ton.,Choisir la gamme en impro ,"L'accord IV est MAJEUR alors DORIEN. Il y a un accord bII alors PHRYGIEN. L'accord V est MAJEUR (ou 7) alors MINEUR HARMONIQUE.

"
Substitution fonctionnelle,"Tonique : Cmaj7 ↔ Am7, etc.",Choisir la gamme en impro ,"Si l'accord est majeure, jouer la penta majeure de l'accord. Et inversement."
Accords 7e,"7M, 7m, 7 (dominante).",—,—
Accords sus,Sus2 / Sus4 selon fonction.,—,—
Quinte,"Non essentielle dans 7, maj7, m7.",TECHNIQUE & MANCHE,NOTE
Augmentés / Diminués,Quinte particulière ou omise.,Repères manche,Cordes Ré–Sol–Si.
Accords 9/11/13,Accords de 7e enrichis.,Corde de Si,+1/2 ton dans les positions.
Emprunt modal,C → Cm (parallèle).,Trouver même note,+5 cases sauf Sol→Si : +4.
Cø,Le symbole ø désigne toujours un accord half-diminished (m7♭5).,—,—
Retrouvez les triades d'une tonalité,Vous pouvez former des triades à partir d'une tonalité.. I -> 1 - 3 - 5; II -> 2 - 4 - 6...,—,—
—,—,—,—
—,—,—,—
—,—,—,—
